spkt,spkid
-3.2279000000000053,5568
-3.227899999999998,4664
-3.2278666666666638,3635
-3.2278666666666638,4031
-3.227833333333333,4662
-3.2277999999999984,3372
-3.2277999999999984,3404
-3.227799999999995,2746
-3.227766666666664,2684
-3.227733333333333,2266
-3.227733333333333,3883
-3.2277333333333296,1936
-3.2277333333333296,3376
-3.227733333333326,1985
-3.227733333333326,4155
-3.227733333333319,243
-3.2276666666666696,5344
-3.227666666666668,2468
-3.227666666666666,3108
-3.2276666666666642,3148
-3.2275999999999954,3562
-3.2274666666666683,4676
-3.2274666666666647,3450
-3.2274333333333303,2007
-3.2274333333333303,2287
-3.227433333333323,165
-3.2274,1841
-3.2273999999999994,4504
-3.227399999999996,1965
-3.2273666666666663,1893
-3.2272999999999996,2855
-3.2272999999999996,5433
-3.2272333333333325,5343
-3.2272,3837
-3.2271666666666654,2689
-3.2271,4890
-3.2270666666666656,5389
-3.2270000000000003,2458
-3.2269666666666668,5119
-3.2269666666666623,461
-3.2269666666666623,1255
-3.2269666666666623,2710
-3.226966666666655,4044
-3.226933333333335,1223
-3.226933333333333,985
-3.2269333333333314,3340
-3.2269000000000005,3639
-3.2268333333333317,2705
-3.2268333333333317,5158
-3.2268333333333175,3574
-3.2267999999999972,2294
-3.2267999999999972,4245
-3.226766666666663,653
-3.2267333333333283,3160
-3.2267333333333283,3431
-3.2266666666666666,4524
-3.226666666666631,325
-3.226666666666574,51
-3.2266333333333335,5102
-3.2265666666666633,4682
-3.2265333333333306,3330
-3.226499999999998,4214
-3.226466666666667,5544
-3.226433333333331,1155
-3.2264000000000017,3832
-3.2264,5122
-3.226399999999998,3465
-3.2263333333333293,1243
-3.2262999999999993,3089
-3.2262999999999993,3113
-3.2262666666666675,4142
-3.2262666666666675,5164
-3.2262666666666657,3073
-3.2262666666666604,1991
-3.2262666666666604,5202
-3.2262666666666604,5210
-3.226266666666561,3784
-3.226233333333333,2394
-3.2261999999999915,2155
-3.226166666666664,4137
-3.2261333333333297,1246
-3.2261000000000024,1135
-3.2260999999999997,2374
-3.2260999999999953,4126
-3.2260333333333335,709
-3.2260333333333335,3992
-3.2260333333333193,4046
-3.225966666666668,1177
-3.2259666666666647,4493
-3.2258999999999993,5173
-3.2258666666666684,2829
-3.2258666666666667,970
-3.225833333333327,5219
-3.2257999999999996,4010
-3.2257999999999996,4510
-3.2257,2426
-3.225699999999998,4195
-3.2256999999999962,1245
-3.2256333333333487,4367
-3.2256333333333345,707
-3.2256333333333345,4709
-3.2256,4250
-3.225533333333331,2689
-3.225533333333331,3416
-3.225466666666666,4884
-3.225366666666666,2296
-3.225366666666666,2765
-3.2253333333333387,3845
-3.2253333333333325,3109
-3.2253333333333316,3415
